race_id,driver_id,team_id,start_position,final_position,grid_result,fastest_lap,points,position_gain
9,1,1,10,6,-4,1:19.530,8,4
9,2,1,8,8,0,1:19.983,0,0
9,3,2,2,2,0,1:18.433,18,0
9,4,2,9,9,0,1:20.480,0,0
9,5,3,4,4,0,1:18.587,12,0
9,6,3,6,7,1,1:19.524,0,-1
9,7,4,7,10,3,1:19.926,0,-3
9,8,5,3,3,0,1:19.711,15,0
9,9,5,5,5,0,1:19.963,10,0
9,10,4,1,1,0,1:18.386,25,0
10,1,1,7,10,3,9:99.999,0,-3
10,2,1,5,8,3,1:15.446,0,-3
10,3,2,2,2,0,1:13.813,18,0
10,4,2,6,5,-1,1:15.772,10,1
10,5,3,9,6,-3,1:15.038,8,3
10,6,3,3,3,0,1:13.173,15,0
10,7,4,10,9,-1,1:15.462,0,1
10,8,5,4,4,0,1:15.332,12,0
10,9,5,8,7,-1,1:14.794,0,1
10,10,4,1,1,0,1:13.202,25,0
11,1,1,9,9,0,1:19.235,0,0
11,2,1,7,4,-3,1:16.867,12,3
11,3,2,3,5,2,1:16.667,10,-2
11,4,2,6,8,2,1:16.554,0,-2
11,5,3,2,2,0,1:16.140,18,0
11,6,3,8,6,-2,1:18.114,8,2
11,7,4,5,3,-2,1:16.536,15,2
11,8,5,4,7,3,1:17.742,0,-3
11,9,5,10,10,0,9:99.999,0,0
11,10,4,1,1,0,1:15.971,25,0
12,1,1,10,10,0,9:99.999,0,0
12,2,1,4,2,-2,1:16.624,18,2
12,3,2,10,10,0,9:99.999,0,0
12,4,2,5,3,-2,1:16.130,15,2
12,5,3,2,1,-1,1:13.945,25,1
12,6,3,10,10,0,9:99.999,0,0
12,7,4,3,5,2,1:16.254,10,-2
12,8,5,10,10,0,9:99.999,0,0
12,9,5,10,10,0,9:99.999,0,0
12,10,4,1,4,3,1:13.970,12,-3
13,1,1,10,10,0,9:99.999,0,0
13,2,1,7,4,-3,1:08.581,12,3
13,3,2,2,2,0,1:07.802,18,0
13,4,2,8,6,-2,1:09.271,8,2
13,5,3,1,3,2,1:07.557,15,-2
13,6,3,4,5,1,1:07.859,10,-1
13,7,4,5,8,3,1:08.864,0,-3
13,8,5,6,7,1,1:09.165,0,-1
13,9,5,10,10,0,9:99.999,0,0
13,10,4,3,1,-2,1:07.275,25,2
14,1,1,10,10,0,9:99.999,0,0
14,2,1,10,10,0,9:99.999,0,0
14,3,2,2,2,0,1:30.791,18,0
14,4,2,3,5,2,1:31.436,10,-2
14,5,3,6,1,-5,1:30.530,25,5
14,6,3,7,3,-4,1:31.382,15,4
